,averageDepartureDelay,MedianDelay,TotalFlights,Origin
80,0.47742437002008165,-6.0,15437,KOA
81,9.925069832402235,-4.0,14320,GSO
82,11.493975054612077,-4.0,14191,ROC
83,8.864500961743962,-3.0,14037,LIT
84,2.722677693020603,-5.0,14027,LIH
85,11.122255921432698,-4.0,13848,XNA
86,10.34494520647362,-5.0,13779,SYR
87,11.233717033367332,-4.0,13726,MSN
88,9.4591957421644,-4.0,13528,DAY
89,8.606474007103648,-4.0,12388,PNS
90,10.626943426943427,-3.0,12285,ALB
91,10.047934560327198,-4.0,12225,FAT
92,10.538474336577655,-4.0,12021,PSP
93,6.579383687824485,-3.0,11942,GEG
94,10.841580726232776,-4.0,11539,MYR
95,17.689618550314187,-2.0,11299,HPN
96,12.626034958601656,-4.0,10870,PWM
97,6.746064467766117,-3.0,10672,SFB
98,11.172011942598479,-4.0,10383,ICT
99,14.838212947016514,-4.0,9871,COS
100,8.498843566021867,-4.0,9512,HSV
101,15.638132709485326,-4.0,9404,BTV
102,7.974607916355489,-5.0,9373,MAF
103,11.075864276568502,-5.0,9372,AVL
104,13.134250731390184,-2.0,9229,CID
105,9.786659255141746,-4.0,8995,LEX
106,10.337994542974078,-4.0,8796,CHA
107,8.721651862959972,-4.0,8669,VPS
108,13.25274465824578,-3.0,8471,SGF
109,10.966107784431138,-4.0,8350,SRQ
110,11.13933708567855,-4.0,7995,JAN
111,6.359583019341874,-4.0,7962,MHT
112,3.3829068710222105,-6.0,7699,PIE
113,8.186179401993355,-5.0,7525,BTR
114,7.883973402089836,-3.0,7369,CAE
115,11.747257325371477,-5.0,7201,SBA
116,12.81111749497271,-3.0,6962,FWA
117,10.582190792322125,-4.0,6929,SHV
118,12.71887201735358,-3.0,6915,FSD
119,13.905129699795978,-2.0,6862,SBN
120,8.915595794392523,-4.0,6848,LBB
121,9.666174080094576,-5.0,6767,BZN
122,10.36220706021952,-3.0,6742,ILM
123,7.8791698693312835,-3.0,6505,ECP
124,5.595484768826349,-4.0,6467,TLH
125,11.65965366564169,-3.0,6179,MDT
126,14.388139723801787,-4.0,6155,CAK
127,-0.5709138552243694,-4.0,6106,ITO
128,23.244550858652577,-5.0,6056,ASE
129,16.408616857582494,-3.0,5849,FAR
130,13.659154437456325,-5.0,5724,CHO
131,6.905954465849387,-5.0,5710,CRP
132,10.979950756243404,0.0,5686,AZA
133,8.340353982300885,-4.0,5650,EYW
134,9.789579524680073,-1.0,5470,ISP
135,7.990652492668621,-6.0,5456,MFE
136,5.477707006369426,-5.0,5338,PGD
137,11.339423620267471,-4.0,5309,MOB
138,15.148176881303336,-5.0,5156,SBP
139,9.457969326344399,-3.0,5151,GNV
140,9.80168034388433,-4.0,5118,EUG
141,9.16830515139599,-5.0,5086,LFT
142,10.036934074662431,-4.0,5036,AMA
143,10.414741035856574,-5.0,5020,GRB
144,10.620166025511237,-4.0,4939,ABE
145,16.101573676680975,-3.0,4893,RAP
146,11.4907819453274,-3.0,4719,AGS
147,11.892150606253988,-3.0,4701,MLI
148,-2.020682302771855,-8.0,4690,FAI
149,11.63042525208242,-4.0,4562,PIA
150,16.920965242417534,-4.0,4517,JAC
151,8.16752635119982,-5.0,4459,GPT
152,-0.1392889288928893,-7.0,4444,JNU
153,16.199498975176496,-3.0,4391,CRW
154,8.337973528069375,-4.0,4382,HRL
155,11.378040141676506,-3.0,4235,ATW
156,8.666587508905248,-5.0,4211,MRY
157,14.901904761904762,-4.0,4200,TVC
158,10.81335247666906,-4.0,4179,BIS
159,6.793060718711276,-4.0,4035,BIL
160,4.72972972972973,-7.0,4033,GJT
161,16.15461847389558,-4.0,3984,MFR
162,9.883215369059656,-5.0,3956,EVV
163,15.918988648090815,-4.0,3876,RDM
164,8.171221864951768,-4.0,3732,STT
165,11.989685124864279,-2.0,3684,MGM
166,13.64609503003823,-5.0,3662,BGR
167,10.796159122085047,-2.0,3645,FAY
168,9.23052781740371,-4.0,3505,AVP
169,8.673708250071368,-2.0,3503,MSO
170,8.84001178550383,-5.0,3394,FNT
171,9.230281051677244,-5.0,3309,GRK
172,13.685627836611195,-3.0,3305,RST
173,5.524539877300613,-4.0,3260,DAB
174,20.32181425485961,-4.0,3241,DLH
175,6.792846034214619,-6.0,3215,AEX
176,12.869606003752345,-4.0,3198,LAN
177,9.67432950191571,-6.0,3132,DRO
178,3.7971959569612,-6.0,3067,ACY
179,4.278292521508934,-5.0,3022,FCA
180,8.791513531573672,-5.0,2993,BMI
181,9.823131552248901,-4.0,2957,PSC
182,16.09279401767505,-4.0,2942,TTN
183,9.051877133105801,-4.0,2930,TRI
184,11.50571923743501,-4.0,2885,MLU
185,11.840701754385965,-4.0,2850,ROA
186,8.015884221673138,-4.0,2833,OAJ
187,9.729478943611706,-5.0,2802,CMI
188,6.592648730579765,-7.0,2639,BRO
189,8.133282559025133,-8.0,2626,LRD
190,6.469512195121951,-5.0,2624,STS
191,7.9597834493426145,-4.0,2586,SGU
192,6.156346749226006,-5.0,2584,MLB
193,7.504958349861166,-5.0,2521,CWA
194,7.807368842611133,-5.0,2497,MBS
195,8.94647201946472,-4.0,2466,PHF
196,6.630255564715581,-6.0,2426,BFL
197,-0.5116872078198045,-8.0,2353,KTN
198,8.011245674740485,-5.0,2312,EWN
199,14.532632501095051,-3.0,2283,BQN
200,10.920035539760107,-4.0,2251,MOT
201,26.46260017809439,-4.0,2246,EGE
202,9.367949865711727,-4.0,2234,ABI
203,4.027235587834771,-7.0,2203,CLL
204,14.74234810415715,-4.0,2189,COU
205,13.45812356979405,-4.0,2185,HHH
206,13.431137724550899,-4.0,2171,LNK
207,8.642329020332717,-4.0,2164,AZO
208,11.830508474576272,-4.0,2124,LSE
209,10.079716981132075,-5.0,2120,FSM
210,4.613668723303275,-4.0,2107,IDA
211,9.697203471552555,-4.0,2074,GFK
212,9.27690029615005,-5.0,2026,TOL
213,5.404332129963899,-7.0,1939,FLG
214,4.9403217436429685,-7.0,1927,LCH
215,12.464435146443515,-5.0,1912,MHK
216,4.58712715855573,-6.0,1911,YUM
217,23.682297154899896,-4.0,1898,ACV
218,3.6852957135105804,-6.0,1843,SJT
219,-0.09901531728665208,-6.0,1828,BLI
